,antiguedad,calle,cant. baños,cant. cocheras,cant. dormitorios,cant. plantas,enlace,precio,sup. cubierta,sup. terreno
87,30,pedernera,2,4,4,2,/casa-en-venta-en-banfield-5-ambientes--11063674,130000,130,150
88,30,bucarest,3,0,4,2,/casa-en-venta-en-banfield-5-ambientes--11351957,105000,300,346
89,10,larroque,4,0,4,2,/casa-en-venta-en-banfield-5-ambientes--11356911,750000,375,530
90,40,jose maria penna,1,1,3,2,/casa-en-venta-en-banfield-4-ambientes--11378024,230000,140,185
91,30,rodriguez peña,2,0,3,2,/casa-en-venta-en-banfield-4-ambientes--7792255,110000,1,1
92,12,capello,2,1,3,2,/casa-en-venta-en-banfield-4-ambientes--11484794,210000,108,154
93,35,biña,2,3,3,2,/casa-en-venta-en-banfield-4-ambientes--11446470,200000,150,174
94,50,monteagudo,2,3,3,2,/casa-en-venta-en-banfield-5-ambientes--11446457,290000,160,300
95,80,hipólito yrigoyen,2,1,3,2,/casa-en-venta-en-banfield-6-ambientes--11446447,340000,277,493
96,2,capello,2,2,3,2,/casa-en-venta-en-banfield-4-ambientes--11419778,550000,232,528
97,60,acevedo,2,1,3,1,/casa-en-venta-en-banfield-4-ambientes--11395133,230000,168,138
98,50,acevedo,4,3,4,2,/casa-en-venta-en-banfield-7-ambientes--11359675,640000,350,477
99,1,capello,5,3,3,3,/casa-en-venta-en-banfield-5-ambientes--11327717,1200000,400,398
100,38,alem °,2,0,3,2,/casa-en-venta-en-banfield-4-ambientes--11160300,260000,150,150
101,10,pueyrredon,2,2,3,2,/casa-en-venta-en-banfield-4-ambientes--11160275,230000,160,174
102,16,saint thomas sur dorm + esc,4,0,3,2,/casa-en-venta-en-banfield-6-ambientes--5449143,530000,260,840
103,57,rincón,2,2,2,2,/casa-en-venta-en-banfield-4-ambientes--4950165,240000,120,170
104,40,manuel castro,2,1,3,2,/casa-en-venta-en-banfield-4-ambientes--4950069,270000,218,266
105,10,monteagudo,2,2,4,2,/casa-en-venta-en-banfield-5-ambientes--4932611,680000,310,329
106,10,capello,2,1,3,2,/casa-en-venta-en-banfield-4-ambientes--11539182,430000,250,140
107,30,melo,2,1,3,2,/casa-en-venta-en-banfield--6624962,210000,1,207
108,5,melo,2,1,4,2,/casa-en-venta-en-banfield--6625092,250000,152,212
109,45,rincon,2,1,2,1,/casa-en-venta-en-banfield--6625103,210000,150,216
110,60,gascon /,1,0,2,1,/casa-en-venta-en-banfield--6625143,280000,110,750
111,25,san martin,3,0,4,1,/casa-en-venta-en-banfield--6625551,700000,500,1.000
112,35,medrano al,3,0,3,1,/casa-en-venta-en-banfield--6625639,270000,330,660
113,60,pintos,1,0,2,1,/casa-en-venta-en-banfield--6625644,105000,95,158
114,40,buen orden,3,2,3,2,/casa-en-venta-en-banfield--6625656,152000,145,235
115,30,r. brito,1,1,4,1,/casa-en-venta-en-banfield--6625660,215000,147,326
116,3,melo,2,1,2,1,/casa-en-venta-en-banfield--6625661,330000,150,380
117,40,gr. pacios,1,1,4,1,/casa-en-venta-en-banfield--6625678,180000,190,374
118,50,melo,1,1,2,1,/casa-en-venta-en-banfield--6625686,120000,78,217
119,40,matheu,2,1,3,1,/casa-en-venta-en-banfield--6625698,165000,128,391
120,30,av. alsina,2,0,3,2,/casa-en-venta-en-banfield--6625709,500000,327,737
121,50,peña . banfield este,2,1,4,1,/casa-en-venta-en-banfield--6625732,120000,180,330
122,60,serrano,1,0,3,1,/casa-en-venta-en-banfield--6625734,105000,106,128
123,20,peña,1,1,2,1,/casa-en-venta-en-banfield--6625735,140000,103,216
124,40,pintos,2,1,4,2,/casa-en-venta-en-banfield--6625743,180000,127,233
125,20,a cuadras de av. alsina y de estacion de banfield,2,2,4,2,/casa-en-venta-en-banfield--6625752,350000,192,232
126,20,guardia nacion,1,1,2,1,/casa-en-venta-en-banfield--6625755,115000,73,85
127,30,viamonte,1,0,2,2,/casa-en-venta-en-banfield--6625764,150000,72,73
128,70,viamonte,1,0,4,1,/casa-en-venta-en-banfield--6625767,245000,145,523
129,0,serrano,1,1,2,2,/casa-en-venta-en-banfield--6625768,125000,63,127
130,40,ana acerboni,2,1,3,2,/casa-en-venta-en-banfield--6625771,105000,174,200
131,30,roma,2,1,3,1,/casa-en-venta-en-banfield--6651446,105000,251,311
132,30,godoy cruz,3,2,4,2,/casa-en-venta-en-banfield-5-ambientes--6660896,420000,329,545
133,50,antonio berutti,3,0,4,2,/casa-en-venta-en-banfield-5-ambientes--6660956,765000,400,822
134,40,glo,1,1,2,1,/casa-en-venta-en-banfield--6691896,85000,60,94
135,15,larroque,1,1,2,2,/casa-en-venta-en-banfield--6742872,120000,85,90
136,20,araoz,3,2,3,2,/casa-en-venta-en-banfield--6742914,400000,250,303
137,25,grigera,3,3,3,2,/casa-en-venta-en-banfield--6742989,440000,250,317
138,40,carlos glade,1,0,2,1,/casa-en-venta-en-banfield--6743105,100000,57,103
139,25,alem,2,2,4,2,/casa-en-venta-en-banfield--6743241,350000,360,225
140,30,acuña,1,1,2,1,/casa-en-venta-en-banfield--6743410,140000,95,220
141,45,larroque,3,1,3,2,/casa-en-venta-en-banfield--6754446,350000,201,303
142,30,acevedo,3,1,4,1,/casa-en-venta-en-banfield--7021599,290000,195,516
143,60,rincon,2,3,3,2,/casa-en-venta-en-banfield-5-ambientes--7131958,330000,171,313
144,50,tcahuano,1,0,1,1,/casa-en-venta-en-banfield--6625708,46000,23,27
145,30,palacios,3,1,2,2,/casa-en-venta-en-banfield--7316214,265000,226,268
146,40,viamonte,1,1,2,1,/casa-en-venta-en-banfield--7428004,186000,110,144
